,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
35,Swiggy,420.75,"₹1,05,120Cr",-30.50%,-28.39,182.51,-14.85,10.27,0.00%,0.17,33.96584440227704,99.3963782696177,-36.80%,-34.95042492917847
36,Union Bank of India,138.54,"₹1,04,275Cr",17.38%,5.54,13.70,24.65,0.96,3.48%,NA,2.937746971561832,11.878227779287851,15.08%,16.500424782102513
37,The Indian Hotels Company,733.25,"₹1,02,971Cr",15.01%,52.65,57.58,13.74,9.23,0.31%,0.28,13.099587325436598,17.1360153256705,23.41%,31.898999090081894
38,Indian Bank,757.70,"₹1,02,073Cr",17.85%,9.31,13.70,81.42,1.59,2.14%,NA,10.480967837120096,23.72034956304619,18.26%,21.78836600608942
39,Zydus Lifesciences,987.90,"₹1,00,050Cr",18.89%,21.88,34.33,45.44,4.18,1.11%,0.13,-35.669088352472464,-77.38389182833627,15.41%,22.313296903460838
40,IDBI Bank,92.29,"₹99,858Cr",15.49%,12.62,13.70,7.36,1.95,2.26%,NA,13.211082853700978,16.75392670157068,28.59%,29.95980137148262
41,REC Limited,377.75,"₹99,549Cr",20.27%,5.89,20.31,64.14,1.28,4.76%,6.33,13.016798343177111,29.314352120859965,30.39%,98.96837247183386
42,HPCL,454.25,"₹97,007Cr",13.17%,9.50,19.64,48.00,1.90,2.30%,1.38,-0.6349389355096393,1128.4991568296794,3.66%,5.449286412836281
43,Indus Towers,357.90,"₹95,172Cr",30.56%,9.77,12.06,36.15,2.92,0.00%,0.65,9.463637585697002,-9.968847352024921,21.53%,33.48888615989193
44,JSW Energy,548.05,"₹94,554Cr",7.13%,43.52,23.28,12.43,3.46,0.37%,1.83,-9.597257926306769,-36.19017582590869,17.68%,36.612322274881514
45,GMR Airports,88.39,"₹93,658Cr",-0.55%,-422.38,39.88,-0.21,1.76,0.00%,0.16,142.40090823831383,22.20238912536043,-37.24%,24.246558605522523
46,Bajaj Housing Finance,111.10,"₹93,114Cr",10.84%,41.08,25.96,2.72,4.67,0.00%,4.11,18.515165233137164,20.863637305484747,22.38%,90.25974025974025
47,Marico,714.95,"₹92,880Cr",40.98%,55.65,51.73,12.86,23.37,1.46%,0.14,44.695378151260506,149.83922829581994,34.06%,32.41379310344827
48,Vodafone Idea,9.18,"₹91,767Cr",38.94%,-3.33,39.53,-2.54,0.00,0.00%,-3.32,3.5309543879366863,2.5034770514603615,-61.57%,-6.8463904468970505
49,Dabur India,492.25,"₹87,514Cr",16.37%,49.14,51.73,10.04,8.10,1.62%,0.09,-1.486280487804878,0.498285601519534,16.50%,20.810444874274665
50,NHPC,86.46,"₹86,990Cr",7.58%,28.49,23.28,3.04,2.19,2.21%,1.00,16.294964028776977,5.304518664047151,36.00%,45.99443241571296
51,ICICI Prudential,603.50,"₹86,900Cr",10.06%,68.88,14.91,8.72,6.95,0.14%,0.21,-0.22243034418169047,34.01952085181898,3.55%,0.0
52,SBI Cards And Payment Services,905.15,"₹85,834Cr",13.91%,45.72,25.96,19.73,6.23,0.28%,3.26,12.313183136292661,-6.474892758011608,11.40%,31.002979145978156
53,Bharat Heavy Electricals,244.86,"₹85,485Cr",2.16%,295.78,60.15,0.83,3.46,0.20%,0.36,1.3762287756925828,114.04573687182382,-8.29%,-7.514456981664316
54,NTPC Green Energy,98.53,"₹82,721Cr",2.58%,148.74,23.28,0.66,4.49,0.00%,1.05,11.992341919129244,26.257068622955813,29.49%,61.110231733569705
55,Ashok Leyland,139.83,"₹80,995Cr",25.40%,25.26,28.17,5.46,6.62,2.27%,4.08,1.8095348567451572,12.966627345028344,6.84%,9.565796969351716
56,Aditya Birla Capital,303.50,"₹79,473Cr",10.97%,23.31,20.31,13.05,2.61,0.00%,4.61,6525.1434191116205,1691.8324051975603,16.85%,76.19990103908955
57,Indian Overseas Bank,39.60,"₹76,198Cr",13.60%,19.40,13.70,2.04,2.64,0.00%,NA,17.151162790697676,75.56612569333609,15.04%,17.076471915181592
58,Suzlon Energy,54.01,"₹73,594Cr",33.93%,35.14,60.15,1.54,12.08,0.00%,0.05,48.60537190082644,15.690780708766324,12.17%,19.976711852624263
59,Nykaa,262.40,"₹73,120Cr",5.08%,912.68,182.51,0.28,56.19,0.00%,1.01,-14.139849306386864,-69.40563580393085,15.79%,16.230624128598375
60,Rail Vikas Nigam,354.85,"₹72,256Cr",13.39%,60.59,24.73,5.72,7.55,0.50%,0.57,-4.600092464170134,-41.29935720844812,3.26%,6.57523624909135
61,Vishal Mega Mart,149.64,"₹70,300Cr",7.63%,135.59,99.22,1.11,11.21,0.00%,0.02,0.657501494321578,35.17795637198623,10.58%,14.188836104513063
62,Adani Total Gas,636.10,"₹69,662Cr",15.56%,107.54,16.80,5.89,16.56,0.04%,0.44,20.09607686148919,-8.425094584674468,10.87%,16.448666666666668
63,Yes Bank,22.22,"₹68,799Cr",5.73%,25.21,13.70,0.87,1.44,0.00%,NA,4.821708903341556,59.4391258483769,10.55%,11.489088575096277
64,Oil India,422.45,"₹68,252Cr",13.16%,10.40,8.85,40.34,1.37,2.74%,0.62,-13.53107815364106,-44.5480572597137,16.23%,24.10869146270958
65,NMDC,76.09,"₹66,844Cr",22.03%,10.22,10.60,7.44,2.25,4.34%,0.14,20.72448624172762,-0.7560483870967742,29.67%,38.53144835545297
66,General Insurance,382.75,"₹66,799Cr",12.08%,7.80,14.91,48.80,1.37,2.63%,0.00,12.711533962411291,69.1119691119691,15.80%,0.0
