,Stock_Name,Current_Price (₹),Market Cap,Return_On_Equity (ROE) %,Price_to_Earnings_ratio (P/E),Industry P/E,Earnings_per_share (EPS),Price_to_Book_ratio (P/B),Dividend Yield %,Debt_to_Equity,Revenue_Growth %,Profit_Growth %,Net_Profit_Margin %,EBITDA Margin %
146,KEC International,862.20,"₹22,825Cr",10.67%,37.56,24.73,22.83,4.27,0.64%,0.74,2.695829094608342,14.556765163297044,0.91%,4.288261515601783
147,Sun TV Network,583.75,"₹22,814Cr",14.61%,13.64,18.53,42.43,1.96,2.59%,0.01,1.4830508474576272,-3.3422313233627245,42.06%,48.349338900487126
148,Himadri Speciality Chemical,461.70,"₹22,557Cr",14.93%,36.69,43.93,12.45,6.20,0.13%,0.08,-6.9306930693069315,47.88983394086674,16.59%,22.914007092198585
149,Welspun Corp,871.70,"₹22,462Cr",20.32%,11.17,36.11,76.26,3.02,0.58%,0.15,-8.076009501187649,124.44072573542364,11.72%,18.386046511627907
150,Asahi India Glass,872.35,"₹22,402Cr",13.91%,64.10,63.70,13.71,6.11,0.22%,1.01,8.239700374531834,-30.19879675647397,4.70%,11.2560553633218
151,Aadhar Housing Finance,512.90,"₹22,384Cr",14.31%,23.59,20.31,21.91,3.53,0.00%,2.56,19.379040513820126,18.602558976409433,27.98%,74.8555117000282
152,CESC,162.69,"₹22,051Cr",11.40%,16.00,23.28,10.40,1.84,2.72%,1.50,0.8677542519958347,9.895833333333332,7.37%,17.102546455609087
153,Brigade Enterprises,926.45,"₹21,803Cr",12.16%,28.99,40.56,30.76,3.87,0.28%,0.97,-14.04900008657258,-16.19686119152826,12.61%,17.803831510243548
154,Redington,274.75,"₹21,655Cr",12.83%,13.25,54.78,20.90,2.48,2.45%,0.32,23.94024638665244,28.611807027686787,1.57%,2.367535415199186
155,Chalet Hotels,970.85,"₹21,185Cr",4.68%,74.35,57.58,13.03,6.95,0.00%,0.85,141.92794547224926,206.74865026994595,24.04%,36.17713687745081
156,Jyoti CNC Automation,934.55,"₹21,153Cr",18.74%,62.84,36.11,14.80,12.54,0.00%,0.29,23.19989809241745,75.13355998057311,19.37%,26.420410484412965
157,Punjab & Sind Bank,29.87,"₹21,116Cr",8.76%,19.08,14.52,1.56,1.68,0.24%,NA,18.728039353478568,48.29752066115704,9.25%,9.559633027522935
158,Karur Vysya Bank,218.57,"₹20,957Cr",16.80%,10.45,14.52,20.75,1.76,1.00%,NA,12.832023943135054,13.692358007195043,20.30%,22.790450928381965
159,Chambal Fertilisers,510.65,"₹20,710Cr",18.90%,11.83,30.38,43.68,2.37,1.93%,0.01,14.503220769080617,15.540785279629105,11.20%,14.405386975792704
160,Sagility,44.76,"₹20,687Cr",6.47%,31.12,24.66,1.42,2.48,0.00%,0.17,23.435851241796424,1409.0483619344775,20.47%,31.18367006526136
161,Sarda Energy & Minerals,573.05,"₹20,576Cr",11.13%,21.99,34.57,26.55,3.27,0.26%,0.46,89.90745976361553,113.27550964035137,29.57%,39.61946259985476
162,Devyani International,165.56,"₹20,345Cr",0.84%,-1651.50,140.11,-0.10,13.44,0.00%,2.91,9.621710526315788,-80.37914691943128,0.68%,6.704533276176187
163,Hatsun Agro Product,905.80,"₹20,322Cr",16.23%,71.67,51.73,12.73,11.83,0.66%,1.50,6.773243584350021,13.436494561054099,5.84%,9.638297872340425
164,Kansai Nerolac Paints,246.48,"₹20,285Cr",10.44%,17.91,53.19,14.01,3.16,1.49%,0.05,2.4413595021541408,-4.251347988386562,11.06%,14.65747663551402
165,Schneider Electric,842.65,"₹20,099Cr",47.68%,77.12,67.73,10.90,43.94,0.00%,0.93,5.108226562106423,-14.933993399339924,6.63%,10.649753167287077
166,Castrol India,202.28,"₹20,069Cr",52.58%,20.98,47.96,9.67,11.03,6.41%,0.04,6.205923836389281,5.095404229659307,16.30%,22.05577689243028
167,IIFL Finance,475.50,"₹19,949Cr",5.38%,61.52,20.31,7.63,1.61,0.00%,4.15,45.25904203323558,-685.9223300970874,8.98%,59.203903095558545
168,IDFC,107.97,"₹17,280Cr",7.81%,19.93,21.18,5.42,1.29,0.00%,0.00,-66.49145860709592,-97.18909710391823,4.31%,3.7908496732026142
169,GMDC,583.95,"₹19,419Cr",10.70%,29.18,10.60,20.93,3.03,1.65%,0.02,-7.741641510508633,-11.074389120658827,22.40%,27.805010556989224
170,Brainbees Solutions,377.90,"₹19,305Cr",-3.15%,-106.61,96.82,-3.47,4.06,0.00%,0.33,10.170078031731746,1179.1666666666667,0.54%,2.5708676874754617
171,Reliance Power,44.56,"₹18,781Cr",-1.12%,6.08,23.28,7.47,1.26,0.00%,0.93,-5.974842767295596,-7.766990291262142,372.55%,71.27926421404682
172,Crompton Greaves,287.50,"₹18,625Cr",16.40%,35.36,69.18,8.18,5.49,1.04%,0.14,-7.06713780918728,-20.600177642431163,6.88%,9.614340032590983
173,Crompton Greaves,287.50,"₹18,625Cr",16.40%,35.36,69.18,8.18,5.49,1.04%,0.14,-7.06713780918728,-20.600177642431163,6.88%,9.614340032590983
174,Bikaji Foods International,730.60,"₹18,267Cr",14.52%,90.33,51.73,8.07,13.21,0.14%,0.17,10.447134560212726,5.972152323435669,10.39%,13.979346173340094
175,Capri Global Capital,188.40,"₹18,257Cr",11.12%,31.59,20.31,6.01,2.90,0.09%,3.62,46.49795452383218,141.3371906139505,20.16%,65.37692227763924
176,Sai Life Sciences,862.25,"₹18,120Cr",7.99%,74.27,34.33,11.66,8.51,0.00%,0.17,80.8760409406068,-612.9173989455185,12.08%,17.98600547611804
177,Gujarat State Petronet,323.55,"₹18,111Cr",9.54%,17.24,16.80,18.62,1.56,1.56%,0.01,-15.483171027820111,-32.794076030563154,50.19%,58.60814817078761
178,Century Plyboards (India),817.10,"₹18,066Cr",7.84%,89.06,58.70,9.13,7.64,0.12%,0.67,6.408305644401658,-8.239751048572593,6.67%,9.64785992217899
179,Alembic Pharmaceuticals,916.70,"₹17,833Cr",11.24%,29.57,34.33,30.68,3.44,1.21%,0.24,1.555104800540906,-41.24524660877462,6.93%,9.864181091877496
180,Carborundum Universal,919.30,"₹17,503Cr",10.18%,72.43,36.11,12.69,4.96,0.44%,0.06,14.387206258808636,55.41380789022298,20.76%,20.927104025748697
181,Acme Solar Holdings,290.15,"₹17,460Cr",5.59%,45.73,24.73,6.31,3.87,0.07%,2.43,-9.963638162614089,-99.46777054997044,0.29%,16.799912085496853
182,Zensar Technologies,760.90,"₹17,176Cr",15.97%,25.49,24.66,29.64,4.22,1.72%,0.03,11.609088079676317,-3.861219921656395,27.61%,29.935861684327943
183,Manyavar- Vedant Fashions Ltd.,691.95,"₹16,912Cr",21.75%,42.68,48.14,16.31,9.47,1.15%,0.27,17.50612369871403,12.433989438310135,24.99%,34.733893557422974
184,RBL Bank,273.55,"₹16,910Cr",3.70%,29.13,13.70,9.47,1.08,0.36%,NA,4.858205485820548,-46.07827304048234,5.82%,5.777654622035025
185,JM Financial,174.53,"₹16,829Cr",8.44%,15.24,20.31,11.55,1.73,1.53%,1.18,106.20431893687707,286.6995073891626,54.19%,65.83155435614452
186,Ventive Hospitality,707.55,"₹16,821Cr",2.50%,139.31,57.58,5.17,3.50,0.00%,0.57,45.28679606580206,81.94549583648751,33.67%,51.97100407380781
187,Triveni Turbine,523.80,"₹16,582Cr",29.37%,48.53,60.15,10.75,13.63,0.77%,0.03,-11.803954870799462,-3.486027081532702,19.44%,24.676753782668502
188,Afcons Infrastructure,452.35,"₹16,508Cr",9.25%,31.00,24.73,14.48,3.14,0.56%,0.45,7.09353421217828,30.98822621115613,4.04%,10.064771395076203
189,Choice International,808.10,"₹16,495Cr",15.24%,95.82,20.31,8.37,16.79,0.00%,0.45,0.42857142857143216,-48.0,23.71%,37.9800853485064
190,Godawari Power and Ispat,243.28,"₹16,463Cr",16.54%,22.21,34.57,11.07,3.35,0.88%,0.06,-5.237315875613748,-27.048464561199236,17.68%,24.48272884283247
191,City Union Bank,219.70,"₹16,329Cr",12.31%,14.02,14.52,15.72,1.72,0.91%,NA,16.951296647691336,15.664108283867067,19.06%,20.60140616549486
192,Ircon International,182.60,"₹16,219Cr",11.50%,24.29,24.73,7.10,2.56,1.54%,0.68,-22.256365232660226,-14.696051215228598,9.05%,11.197063805759457
193,Aptus Value Housing,314.50,"₹16,176Cr",17.40%,20.26,20.31,15.95,3.76,1.39%,1.59,19.38126162581992,21.576176632356404,43.50%,85.1675687496583
194,Gallantt Ispat,653.80,"₹16,050Cr",14.10%,35.46,34.57,18.76,5.65,0.19%,0.13,-2.239448751076658,42.602773447115766,15.41%,19.561233480176213
195,JBM Auto,668.95,"₹16,027Cr",14.95%,78.08,39.18,8.68,11.87,0.13%,1.95,16.933207902163687,-5.36556603773585,2.60%,6.382944489139179
196,Paradeep Phosphates,189.33,"₹15,960Cr",13.53%,19.89,30.38,9.83,3.91,0.51%,1.07,57.73884021693784,3949.921011058452,6.83%,11.348849510711451
197,V-Guard Industries,363.85,"₹15,929Cr",14.95%,55.19,60.15,6.62,7.59,0.41%,0.06,-0.7037297677691766,-31.96140693698094,3.96%,5.565556343019136
198,Five-Star Business Finance,532.60,"₹15,800Cr",17.01%,14.53,25.96,36.92,2.51,0.37%,1.26,18.19743643371479,5.8592041976388325,33.85%,68.53473881115787
199,Syrma SGS Technology,851.95,"₹15,748Cr",9.71%,78.68,86.51,10.40,5.73,0.17%,0.38,-30.562601154673054,879.8534798534799,4.76%,8.316228909375544
200,CIE Automotive India,410.80,"₹15,620Cr",11.41%,19.77,36.23,20.83,2.26,1.70%,0.07,5.3984575835475574,0.06314127861089053,10.53%,13.920325203252032
201,Allied Blenders And Distillers,546.65,"₹15,550Cr",12.63%,64.72,62.97,8.59,10.08,0.65%,0.59,0.5652911249293386,399.67186218211646,3.44%,6.105115233277122
202,Dr. Agarwal's Health Care,506.00,"₹15,528Cr",4.47%,153.01,65.48,3.21,8.32,0.00%,0.51,28.674216099096512,-218.6619718309859,3.46%,11.091342335186654
203,Supreme Petrochem,807.60,"₹15,480Cr",17.50%,44.28,26.88,18.59,6.94,1.21%,0.06,-12.155388471177945,-33.644936449364494,5.85%,7.957917261055634
204,IFCI,56.62,"₹15,476Cr",1.97%,48.68,20.31,1.18,1.78,0.00%,0.43,46.81386476175015,-104.9784133837021,4.75%,73.28320247705406
205,Elgi Equipments,496.25,"₹15,373Cr",18.77%,42.37,36.11,11.45,8.24,0.45%,0.31,8.16158285243198,11.950549450549456,16.21%,20.94131097560976
206,International Gemmol,351.90,"₹15,182Cr",39.64%,30.95,43.22,11.35,12.27,0.69%,0.11,19.012062033314187,43.029546400332904,58.72%,72.92873230373232
207,Reliance Infrastructure,235.10,"₹9,956Cr",26.60%,1.90,24.73,128.02,0.71,0.00%,0.44,81.82463613773517,-153.81259392117894,-122.54%,154.3342444357673
208,Nuvoco Vistas Corporation,428.95,"₹15,026Cr",0.24%,98.76,44.37,4.26,1.67,0.00%,0.45,10.018132366273798,320.66420664206646,3.79%,9.245982694684795
209,Transformers India,494.05,"₹14,834Cr",17.12%,56.74,60.15,8.71,11.85,0.04%,0.23,66.95500633713559,227.4360370168753,11.78%,17.166119451139664
210,Niva Bupa Health Ins,79.73,"₹14,807Cr",5.66%,105.54,18.96,0.76,4.82,0.00%,0.07,13.564929693961952,385.8660998937301,-7.50%,0.0
211,PG Electroplast,521.25,"₹14,685Cr",10.18%,54.19,69.18,9.54,5.19,0.05%,0.14,-10.57743245629525,73.19195214790646,9.52%,12.725682690137665
212,Natco Pharma,811.40,"₹14,606Cr",24.79%,8.60,34.33,94.78,1.92,0.74%,0.04,-1.957713390759593,-27.06270627062705,38.91%,43.5702875399361
213,Cemindia Projects,826.90,"₹14,535Cr",20.33%,35.46,24.73,23.86,7.93,0.24%,0.52,7.109995817649518,36.95977642479289,5.38%,8.346349082389692
214,Trident,28.33,"₹14,483Cr",8.00%,33.05,32.97,0.86,3.13,1.27%,0.35,-1.7142857142857144,89.3735561896997,8.20%,12.66279069767442
215,Zydus Wellness,450.30,"₹14,406Cr",6.12%,44.05,51.73,10.28,2.54,0.26%,0.03,29.17888563049852,12.90322580645161,9.08%,13.393870601589105
216,Jupiter Wagons,344.35,"₹14,363Cr",13.88%,44.46,36.11,7.61,5.28,0.38%,0.18,-52.918421636000886,-63.17382046396952,8.00%,13.193022106080937
217,Belrise Industries,161.32,"₹14,349Cr",13.18%,36.32,39.18,4.44,2.96,0.25%,1.10,26.84797768479777,55.77332117897298,5.70%,10.446948873007148
218,PCBL Chemical,378.60,"₹14,253Cr",11.75%,34.71,43.93,10.88,3.98,1.46%,1.51,-2.53671562082777,-19.943240454076367,6.41%,13.194520547945205
219,Swan Corp,448.25,"₹14,231Cr",10.29%,22.40,32.97,20.27,2.09,0.02%,0.38,13.31058020477815,137.53846153846152,16.08%,13.902980342422321
220,KSB,799.65,"₹13,944Cr",16.74%,54.28,36.11,14.76,9.09,0.50%,0.00,3.7867312935474096,5.976676384839664,10.90%,13.995913601868068
221,Minda Corporation,594.35,"₹13,847Cr",11.60%,53.98,39.18,10.73,6.30,0.24%,0.73,17.35284772827434,-18.934108527131787,3.69%,7.579039301310043
222,Indegene,551.80,"₹13,719Cr",15.55%,31.51,65.48,18.13,5.25,0.35%,0.04,5.655526992287909,38.34355828220859,17.64%,21.376433785192912
223,Usha Martin,450.85,"₹13,712Cr",14.80%,33.93,34.57,13.26,4.98,0.67%,0.15,7.33277899174288,2.9189660180075587,13.12%,17.51193586163409
224,Aarti Industries,377.35,"₹13,695Cr",5.91%,57.75,43.93,6.54,2.44,0.26%,0.69,-8.719481813652218,-68.11594202898551,2.41%,5.513100436681222
225,LT Foods,397.15,"₹13,690Cr",15.71%,22.06,51.73,17.87,3.55,0.76%,0.33,0.47303689687795647,-27.07018927444794,3.52%,5.324858757062147
226,Intellect Design Arena,982.15,"₹13,661Cr",11.95%,38.72,24.66,25.35,4.90,0.71%,0.03,3.4223392252726534,20.840592334494772,14.70%,18.21818181818182
227,BLS International Services,351.40,"₹13,643Cr",29.36%,24.15,24.66,13.72,7.88,0.30%,0.21,19.838373305526588,-48.275862068965516,1.69%,5.4383293452251475
228,Lemon Tree Hotels,167.23,"₹13,528Cr",16.90%,62.78,57.58,2.72,11.62,0.00%,1.85,12.197471402769427,22.795440911817614,22.04%,39.07490877870787
229,Elecon Engineering Company,619.65,"₹13,517Cr",20.77%,26.13,36.11,23.05,6.76,0.33%,0.09,41.9026490930445,333.61161524500903,26.02%,63.210410152657715
230,Granules India,555.90,"₹13,418Cr",13.50%,27.98,34.33,19.76,3.61,0.27%,0.39,-3.5607196401799075,-25.90104499893368,9.86%,12.767197823552273
231,NMDC Steel Ltd.,45.31,"₹13,390Cr",-18.10%,-7.43,23.36,-6.15,1.02,0.00%,0.45,65.60665362035225,-104.67062585655549,0.76%,5.016838995568685
232,Jindal Hisar,562.80,"₹13,230Cr",30.12%,8.94,19.65,62.69,2.42,0.00%,0.29,-1.4289425824889581,-34.441707717569784,5.94%,8.396415392725357
233,Sammaan Capital,163.09,"₹13,254Cr",4.14%,13.48,25.96,11.87,0.58,1.25%,1.77,13.753877973112719,15.902271753107588,13.57%,70.18181818181817
234,NCC,211.10,"₹13,210Cr",11.19%,16.46,24.73,12.78,1.80,1.05%,0.22,-6.677901832736464,-5.300388562319426,4.34%,8.853047404063204
235,Jindal SAW,202.22,"₹13,088Cr",15.23%,7.60,36.11,26.92,1.15,0.98%,0.43,-24.67738283903102,-18.42653815981172,11.03%,13.164712954613766
236,Embassy Developments,94.71,"₹13,019Cr",2.77%,-89.92,39.88,-1.06,1.17,0.00%,0.26,-85.8815597258119,-127.51440788250605,-74.72%,-9.71028334925183
237,Godrej Agrovet,674.05,"₹13,003Cr",18.05%,28.58,51.73,23.66,5.46,1.63%,0.59,14.781125639567936,23.8287264462204,8.46%,11.824665676077267
238,Kirloskar Oil Engines,881.10,"₹12,969Cr",15.85%,27.49,36.11,32.47,4.20,0.73%,1.89,7.766272189349112,-8.847980997624704,8.50%,11.563486616334934
239,Cello World,593.25,"₹12,864Cr",15.63%,39.06,54.78,14.91,5.94,0.26%,0.00,11.846997048790756,-4.295942720763738,5.69%,7.408676581454323
240,Indian Energy Exchange,141.58,"₹12,702Cr",37.77%,28.04,51.98,5.08,11.33,2.10%,0.01,18.25191136451988,21.001926782273607,80.75%,82.72971344035945
241,Finolex Cables,818.80,"₹12,662Cr",12.75%,20.44,45.52,40.50,2.30,0.97%,0.00,13.547376664056381,13.313198922536925,9.95%,11.805517241379311
242,Banco Products (India),795.65,"₹12,520Cr",30.07%,28.94,39.18,30.25,9.61,1.26%,0.44,21.021230435456374,72.36415976970133,16.14%,20.443050131250402
243,Newgen Software Technologies,883.10,"₹12,502Cr",20.79%,39.39,24.66,22.40,8.24,0.56%,0.04,3.6002890743052296,14.861995753715492,17.35%,19.78248462172617
244,Jaiprakash Power Ventures,17.90,"₹12,377Cr",6.62%,16.72,23.28,1.08,1.46,0.00%,0.31,-8.375491849353569,-20.23932506887053,17.56%,32.59263803680982
245,Finolex Industries,195.56,"₹12,375Cr",7.88%,31.12,48.92,6.41,2.03,1.80%,0.04,-7.280334728033473,-80.81353919239905,9.29%,11.882671480144404
246,Railtel Corporation of India,397.65,"₹12,342Cr",14.99%,38.92,52.12,9.88,6.17,0.74%,0.02,31.26947849574071,35.81261557427572,8.55%,11.85633639337343
247,India Cements,393.05,"₹12,196Cr",-5.53%,-36.41,44.37,-10.81,2.49,0.00%,0.11,5.634522957357605,-123.94709363035155,-1.34%,1.6156824782187804
248,Le Travenues Technology,310.70,"₹12,173Cr",9.50%,188.97,182.51,1.65,19.21,0.00%,0.06,72.4549598437161,101.63191296464188,7.15%,9.546884833228445
249,Titagarh Rail Systems,927.25,"₹12,107Cr",11.13%,50.39,36.11,17.84,4.88,0.11%,0.25,-24.51548058644875,-40.05048380311317,6.29%,10.85043563840565
250,RITES,256.62,"₹12,106Cr",14.57%,31.37,43.22,8.03,4.59,3.00%,0.00,0.16205749884245457,2.7597903176071634,14.62%,19.15698346325986
251,SBFC Finance,110.68,"₹12,036Cr",10.82%,34.84,20.31,3.16,3.77,0.00%,1.65,30.600652078921726,28.163109756097565,26.07%,67.11362758975679
252,Chennai Petroleum Corporation,805.30,"₹12,028Cr",2.61%,-65.72,19.64,-12.29,1.47,0.62%,0.38,-8.210164497913086,-116.52656158785757,-0.30%,-0.23035360830257318
253,Blue Jet Healthcare,673.95,"₹11,837Cr",26.94%,33.01,39.58,20.67,10.45,0.18%,0.02,111.51963640601328,141.31815775542614,25.70%,34.03487507231206
254,Vardhman Textiles,401.95,"₹11,679Cr",8.93%,13.71,32.97,29.46,1.18,1.24%,0.13,3.3832976445396143,-11.14147201410313,8.61%,11.952775476387739
255,Jammu & Kashmir Bank,104.10,"₹11,469Cr",16.56%,5.34,13.70,19.50,0.88,2.06%,NA,10.382685069008783,16.69113576740715,14.83%,18.691389599317986
256,Alivus Life Sciences,925.60,"₹11,452Cr",17.24%,23.11,39.58,40.40,4.06,0.54%,0.02,2.8159768393058555,9.024040186580553,20.19%,26.885927575142425
257,Jyothy Labs,310.90,"₹11,417Cr",18.07%,30.81,51.73,10.09,5.57,1.13%,0.03,2.0904261660948205,-4.949425513110078,12.88%,16.72224745344839
258,CCL Products India,852.25,"₹11,278Cr",15.78%,36.24,62.79,23.31,5.73,0.59%,0.92,23.83036557554535,24.741447891805883,5.86%,13.023662474886526
259,Apollo Micro Systems,330.60,"₹11,257Cr",9.29%,169.60,52.85,1.99,12.30,0.07%,0.55,46.615234162773014,125.66782810685251,14.55%,28.044171051656413
260,Tata Tele (Maha),58.68,"₹11,186Cr",6.52%,-8.76,52.12,-6.53,0.00,0.00%,-1.04,-12.473637558455849,0.48855905998764415,-112.99%,37.68333566140522
261,Engineers India,201.62,"₹11,148Cr",21.72%,20.14,24.73,9.85,4.18,2.02%,0.01,37.60334402764066,27.929901423877325,8.18%,10.571566286668684
262,Welspun Living,115.56,"₹11,127Cr",12.98%,25.44,54.44,4.50,2.85,0.15%,0.43,-14.066726780883679,-47.65415087840165,4.04%,6.472717733473243
263,Graphite India,574.25,"₹11,084Cr",7.88%,30.88,36.11,18.37,1.89,1.94%,0.03,-8.468677494199536,-29.268292682926827,22.55%,22.686945500633712
264,TV18 Broadcast,45.27,"₹7,773Cr",-0.28%,-54.63,13.27,-0.83,0.45,0.00%,0.36,13.015120795368487,-133.83495145631068,1.55%,5.105371230952124
265,Relaxo Footwears,435.85,"₹10,956Cr",8.12%,62.69,67.27,7.02,5.22,0.68%,0.10,-11.651760834372768,10.209601081812037,7.47%,10.681726017933045
266,Eureka Forbes,549.85,"₹10,934Cr",3.73%,63.95,69.18,8.84,2.48,0.00%,0.01,10.79318173627878,24.097938144329913,6.34%,8.569151704397605
267,BlackBuck,621.55,"₹10,838Cr",26.88%,-2998.50,45.96,-0.20,8.76,0.00%,0.03,61.11396040619551,23.462897526501756,24.77%,30.343159101037752
268,Zee Entertainment Enterprises,112.39,"₹10,835Cr",6.59%,15.37,18.53,7.34,0.94,2.16%,0.03,-15.525793650793652,-0.8888888888888888,6.62%,9.512624779800353
269,HFCL,74.46,"₹10,732Cr",4.35%,323.43,12.06,0.23,2.63,0.13%,0.33,-25.4066852367688,-137.14686787155642,-5.36%,-1.8858060420478735
270,Can Fin Homes,804.35,"₹10,714Cr",16.92%,12.16,25.96,66.19,2.11,1.49%,6.92,9.544317120058423,12.136846323382096,21.94%,90.77941176470588
271,JK Lakshmi Cement,852.30,"₹10,670Cr",8.35%,27.45,47.33,31.31,2.98,0.72%,0.32,11.92136968928345,169.06155756608123,8.71%,14.647592067988665
272,Tejas Networks,592.50,"₹10,634Cr",11.61%,60.68,12.06,9.91,2.77,0.42%,0.89,-86.57269841269841,-339.18835574195145,-96.03%,-105.30073765840741
273,Aditya Birla Fashion & Retail,85.70,"₹10,520Cr",-10.25%,-22.57,96.82,-3.82,1.54,0.00%,0.74,2.3893183415319745,-24.349911638475135,-4.30%,-0.1949210706932052
274,MMTC,68.37,"₹10,497Cr",5.73%,107.66,54.78,0.65,6.17,0.00%,0.00,-48.42522522522522,16.007592534008232,"2,696%",64.42146450531024
275,Westlife Foodworld Ltd,684.05,"₹10,490Cr",2.01%,1034.92,140.11,0.65,17.38,0.11%,2.69,5174.999999999999,-20842.85714285714,98.44%,98.3073798239675
276,Shipping Corporation of India,222.17,"₹10,439Cr",10.15%,11.52,9.80,19.46,1.26,2.94%,0.27,-6.225930680359435,19.625679631953158,26.09%,26.407255304585902
277,Edelweiss Financial Services,110.91,"₹10,435Cr",9.01%,25.65,20.31,4.30,2.36,1.32%,4.07,-755.6603773584906,-173.697270471464,39.48%,95.21582733812949
278,Vesuvius India,513.60,"₹10,432Cr",16.47%,41.62,47.45,12.35,6.85,0.28%,0.01,12.787128188843013,-6.458797327394201,12.03%,15.947442515251053
279,Jubilant Ingrevia,663.50,"₹10,422Cr",8.58%,37.56,43.93,17.42,3.56,0.76%,0.26,0.6000143103924118,80.07323771742445,6.12%,9.576500233697088
280,Nazara Technologies,273.90,"₹10,338Cr",3.04%,81.36,182.51,3.43,3.08,0.00%,0.08,72.10506844247134,186.7082035306334,135.88%,42.5408426483233
281,Star Cement,261.00,"₹10,305Cr",5.87%,43.58,44.37,5.85,3.58,0.00%,0.14,15.513428120063185,-284.23457730388424,4.44%,9.376367614879651
282,Vijaya Diagnostic Centre,"1,000.35","₹10,259Cr",17.98%,68.35,65.48,14.61,12.89,0.20%,0.40,24.629059829059834,33.02148302148303,21.96%,32.078784221210284
283,ASK Automotive,513.90,"₹10,169Cr",23.74%,39.59,39.18,13.03,9.75,0.19%,0.39,-7.220312086749542,0.8154188287620416,7.49%,10.2513981647391
284,JK Tyre & Industries,376.25,"₹10,168Cr",10.21%,22.65,30.60,16.38,2.10,0.81%,1.01,15.556441962504985,18.779244360639723,6.02%,10.05005177770107
285,Shakti Pumps India,811.00,"₹10,075Cr",35.17%,24.42,36.11,33.43,6.93,0.12%,0.14,9.350181149720708,4.331970383467788,15.59%,21.824710298677978
286,Shree Global Tradefin Ltd.,69.04,"₹10,066Cr",2.33%,31.65,54.78,2.21,3.63,0.13%,0.24,108.50601030337724,23951.08695652174,224.85%,73.00554548948554
287,Ramkrishna Forgings,549.05,"₹10,053Cr",10.92%,23.81,36.23,23.31,3.31,0.36%,0.70,5.406404354692381,-49.412041392285985,2.30%,7.5124853894378925
288,HEG,510.75,"₹10,025Cr",2.58%,50.93,36.11,10.20,2.25,0.35%,0.13,11.583037675282998,2682.9457364341083,11.72%,15.231808133724979
289,Aether Industries,750.00,"₹10,001Cr",7.12%,56.97,43.93,13.24,4.49,0.00%,0.09,13.298260235441193,32.694214876033065,19.66%,25.92984230610087
290,Black Box,592.50,"₹9,980Cr",35.11%,46.37,24.66,12.66,14.35,0.17%,1.24,-8.63486842105264,-144.96124031007753,1.38%,2.8802880288028807
291,Birlasoft,355.40,"₹9,970Cr",14.86%,21.08,24.66,16.98,2.87,1.81%,0.04,-12.61860983236924,-66.13453907908092,5.86%,7.973029013777319
292,Time Technoplast,221.17,"₹9,955Cr",13.41%,24.65,48.92,8.90,3.44,0.57%,0.25,2.722926626480995,19.451105782041026,6.98%,11.314323070697007
293,Sandur Manganese & Iron Ores,187.90,"₹9,936Cr",18.01%,20.18,10.60,10.13,3.80,0.20%,0.72,-30.379848188835158,-12.025965152032795,30.46%,46.778608395629675
294,TD Power Systems,632.55,"₹9,934Cr",20.29%,52.48,60.15,12.12,11.55,0.19%,0.01,36.08827834703298,49.906073888541016,13.38%,17.82778972916322
295,Sonata Software,352.60,"₹9,864Cr",24.89%,23.02,24.66,15.28,5.78,1.24%,0.30,15.371248025276468,-10.35163966811536,8.15%,13.501300835273176
296,Transrail Lighting,757.70,"₹9,856Cr",17.36%,25.89,24.73,28.36,5.25,0.11%,0.35,79.30708085490862,99.65118413805764,6.66%,11.955608878224355
297,Honasa Consumer,295.00,"₹9,624Cr",6.16%,130.31,54.78,2.27,8.16,0.00%,0.12,7.993524053515505,1.6042780748662986,6.84%,9.30956656397753
298,Balrampur Chini Mills,481.35,"₹9,598Cr",11.51%,22.94,20.63,20.72,2.53,0.63%,0.69,8.397480755773268,-33.328175769766354,2.79%,6.252420916720465
299,Sapphire Foods India,290.90,"₹9,539Cr",2.17%,1060.00,140.11,0.28,6.83,0.00%,0.92,7.097883002987558,-136.40256959314775,-0.51%,3.4749613809859476
300,India Shelter Fin.,889.40,"₹9,491Cr",13.95%,22.94,20.31,38.19,3.50,0.57%,1.83,38.61777692455365,43.081723268930766,33.03%,72.40949505581254
301,Ujjivan Small Finance Bank,48.42,"₹9,469Cr",8.81%,17.90,14.52,2.73,1.58,0.00%,NA,5.2987598647125145,-65.71675302245251,6.38%,7.255888650963597
302,Tata Steel BSL,85.35,"₹9,354Cr",28.22%,1.31,25.22,65.31,0.37,0.00%,0.22,50.045020709526376,451.6947086076567,23.25%,24.363898223715793
303,Tanla Platforms,701.50,"₹9,441Cr",22.36%,19.49,24.66,36.53,4.16,1.71%,0.03,-10.461114934618033,207.10928319623974,31.31%,26.676312338924813
304,Jeena Sikho Lifecare,752.80,"₹9,433Cr",30.95%,74.92,39.58,10.13,34.55,0.14%,0.04,70.7830151928321,217.90582403965303,29.44%,40.037636861313864
305,Genus Power Infrastructures,310.25,"₹9,394Cr",16.67%,23.45,69.18,13.17,5.02,0.79%,0.73,123.2253729960152,203.18546484190657,13.63%,21.728436063225846
306,Varroc Engineering,620.40,"₹9,350Cr",7.79%,69.86,39.18,8.76,5.97,0.16%,0.71,8.775029446407538,92.04167590334737,4.70%,8.18570655116405
